,date
812,11/13/17
813,1/29/17
814,9/30/17
815,11/29/17
816,1/16/17
817,9/28/17
818,11/5/11
819,11/14/17
820,10/31/17
821,11/10/17
822,9/8/17
823,10/14/17
824,9/29/17
825,9/26/17
826,1/12/17
827,12/31/16
828,1/4/17
829,8/14/16
830,9/9/16
831,6/21/17
832,1/15/16
833,3/14/17
834,12/20/16
835,3/3/17
836,1/2/17
837,12/13/16
838,11/27/16
839,1/13/17
840,12/23/16
841,1/2/17
842,6/21/17
843,3/27/17
844,3/30/17
845,3/29/17
846,3/8/17
847,1/18/17
848,12/16/15
849,1/2/16
850,3/27/17
851,1/18/17
852,11/13/16
853,10/8/16
854,4/3/17
855,1/2/11
856,2/14/17
857,12/11/16
858,1/4/17
859,1/5/17
860,1/3/17
861,1/1/17
862,1/3/17
863,2/6/17
864,1/8/17
865,3/11/17
866,11/1/16
867,6/3/17
868,6/3/17
869,12/31/16
870,10/9/16
871,1/15/17
872,10/4/16
873,2/15/17
874,3/30/17
875,10/10/16
876,1/3/17
877,3/24/15
878,1/2/17
879,1/4/17
880,1/5/17
881,1/4/17
882,1/1/17
883,11/17/16
884,4/23/17
885,2/13/17
886,1/6/13
887,2/3/17
888,3/27/17
889,11/3/16
890,3/14/17
891,2/26/17
892,4/26/17
893,2/7/17
894,1/3/17
895,2/9/17
896,3/14/17
897,3/18/17
898,1/5/17
899,1/6/17
900,1/23/13
901,2/11/17
902,1/20/17
903,4/27/17
904,1/6/17
905,1/8/17
906,1/29/17
907,12/27/16
908,1/2/17
909,11/29/16
910,10/10/16
911,2/7/17
912,1/5/17
913,2/7/17
914,1/4/17
915,1/11/17
916,1/26/17
917,1/6/17
918,1/18/17
919,2/6/17
920,2/7/17
921,2/7/17
922,2/2/17
923,1/4/17
924,2/6/17
925,3/27/17
926,1/14/17
927,2/7/17
928,2/12/17
929,4/6/17
930,2/27/17
931,1/23/17
932,4/28/17
933,1/11/17
934,2/27/17
935,1/3/17
936,1/30/17
937,3/14/17
938,2/2/17
939,2/27/17
940,4/4/17
941,3/15/17
942,1/15/17
943,3/26/17
944,12/21/16
945,3/8/17
946,1/11/17
947,1/14/17
948,1/9/17
949,3/13/17
950,2/7/17
951,2/7/17
952,1/13/17
953,2/7/17
954,1/14/13
955,1/5/17
956,1/4/17
957,1/9/17
958,1/30/17
959,2/5/17
960,12/28/16
961,2/5/17
962,3/4/17
963,12/28/16
964,3/6/17
965,3/17/17
966,12/16/16
967,2/27/17
968,2/14/17
969,3/9/17
970,3/8/17
971,1/5/17
972,2/21/17
973,2/13/17
974,2/2/17
975,2/2/17
976,2/14/17
977,2/14/17
978,12/18/16
979,12/16/16
980,11/30/16
981,11/30/16
982,3/7/17
983,2/26/17
984,3/15/17
985,1/5/17
986,1/4/17
987,2/21/17
988,11/29/16
989,2/13/17
990,11/30/16
991,1/12/17
992,11/28/16
993,11/28/16
994,11/30/16
995,11/29/16
996,1/8/17
997,1/18/17
998,1/29/17
999,3/13/17
1000,3/16/17
1001,2/14/17
1002,1/2/17
1003,1/4/17
1004,1/4/17
1005,1/4/17
1006,1/4/17
1007,11/28/16
1008,11/28/16
1009,12/23/16
1010,1/5/17
1011,1/4/17
1012,11/29/16
1013,12/27/16
1014,12/31/16
1015,2/7/17
1016,1/4/17
1017,1/1/17
1018,1/4/17
1019,1/4/17
1020,1/5/17
1021,11/30/16
1022,1/5/17
1023,1/3/17
1024,1/3/17
1025,1/14/17
1026,1/5/17
1027,1/3/17
1028,1/4/17
1029,2/7/17
1030,2/14/17
1031,1/16/17
1032,3/9/17
1033,3/13/17
1034,2/12/17
1035,1/15/17
1036,1/3/17
1037,11/30/16
1038,11/28/16
1039,1/1/17
1040,3/14/17
1041,1/4/17
1042,3/13/17
1043,1/14/17
1044,1/14/17
1045,1/1/17
1046,12/21/16
1047,2/14/17
1048,1/14/17
1049,1/2/17
1050,3/14/17
1051,3/8/17
1052,1/12/17
1053,1/1/17
1054,1/5/17
1055,2/5/17
1056,11/8/16
1057,2/4/17
1058,2/12/17
1059,1/3/17
1060,2/11/17
1061,11/13/16
1062,1/6/17
1063,12/16/16
1064,10/30/16
1065,1/13/17
1066,1/18/17
1067,10/19/16
1068,12/14/16
1069,12/14/16
1070,1/3/17
1071,1/5/17
1072,1/5/17
1073,1/4/17
1074,4/2/17
1075,11/1/16
1076,2/14/17
1077,1/26/17
1078,1/4/17
1079,1/29/17
1080,1/22/17
1081,1/22/17
1082,1/31/17
1083,12/24/16
1084,1/16/17
1085,1/13/17
1086,1/7/17
1087,1/4/17
1088,1/5/17
1089,1/28/17
1090,1/24/17
1091,1/4/17
1092,3/12/17
1093,2/7/17
1094,2/27/17
1095,2/11/17
1096,2/14/17
1097,1/5/17
1098,1/3/17
1099,1/5/17
1100,1/4/17
1101,11/29/16
1102,1/11/17
1103,1/3/17
1104,1/31/17
1105,1/3/17
1106,3/22/17
1107,2/26/17
1108,1/24/17
1109,1/3/17
1110,1/24/17
1111,2/5/17
1112,12/23/16
1113,1/12/17
1114,11/28/16
1115,1/5/17
1116,2/19/17
1117,1/14/17
1118,1/6/17
1119,1/14/17
1120,2/14/17
1121,1/12/17
1122,1/14/17
1123,2/3/17
1124,1/14/17
1125,1/13/17
1126,2/1/17
1127,2/7/17
1128,2/7/17
1129,3/7/17
1130,2/7/17
1131,2/3/17
1132,2/12/17
1133,1/4/17
1134,1/12/17
1135,2/16/17
1136,2/13/17
1137,1/31/17
1138,12/31/16
1139,2/6/17
1140,1/22/17
1141,1/14/17
1142,1/6/17
1143,1/6/17
1144,1/12/17
1145,1/5/17
1146,1/5/17
1147,1/18/17
1148,1/5/17
1149,3/27/17
1150,12/3/16
1151,1/3/17
1152,11/29/16
1153,12/9/16
1154,12/6/16
1155,1/5/17
1156,1/5/17
1157,12/27/16
1158,12/27/16
1159,12/23/16
1160,12/17/16
1161,2/14/17
1162,1/2/17
1163,1/1/17
1164,2/1/17
1165,1/1/17
1166,11/23/16
1167,1/1/17
1168,12/29/16
1169,1/5/17
1170,1/4/17
1171,1/27/17
1172,2/6/17
1173,1/3/17
1174,1/9/17
1175,1/5/17
1176,12/31/16
1177,2/14/17
1178,11/29/13
1179,12/29/16
1180,2/6/17
1181,1/31/17
1182,1/3/17
1183,1/2/17
1184,1/2/17
1185,1/30/17
1186,1/4/17
1187,1/5/17
1188,1/13/17
1189,12/24/16
1190,1/5/17
1191,1/5/17
1192,12/27/16
1193,1/10/17
1194,2/27/17
1195,1/13/17
1196,2/27/17
1197,1/13/17
1198,1/3/17
1199,1/9/17
1200,1/14/17
1201,1/2/17
1202,12/8/16
1203,1/16/17
1204,1/10/17
1205,2/7/17
1206,2/7/17
1207,1/31/17
1208,2/14/17
1209,1/31/17
1210,1/3/17
1211,1/4/17
1212,2/13/17
1213,2/26/17
1214,12/14/16
1215,3/14/17
1216,12/24/16
1217,12/24/16
1218,12/24/16
1219,1/5/17
1220,12/1/16
1221,3/31/16
1222,2/14/17
1223,2/14/17
1224,2/14/17
1225,1/3/17
1226,2/18/17
1227,1/5/17
1228,1/3/17
1229,1/3/17
1230,1/3/17
1231,1/5/17
1232,1/4/17
1233,2/7/17
1234,12/7/16
1235,11/29/16
1236,1/3/17
1237,1/14/17
1238,11/30/16
1239,1/14/17
1240,1/4/17
1241,1/3/17
1242,1/3/17
1243,11/14/16
1244,1/2/17
1245,1/5/17
1246,12/11/16
1247,1/2/17
1248,2/7/17
1249,1/8/17
1250,1/3/17
1251,12/15/16
1252,1/5/17
1253,1/16/17
1254,1/2/17
1255,1/3/17
1256,1/3/17
1257,1/3/17
1258,1/2/17
1259,1/3/17
1260,1/2/17
1261,12/30/16
1262,1/8/17
1263,1/3/17
1264,1/3/17
1265,1/3/17
1266,1/3/17
1267,1/3/17
1268,1/3/17
1269,12/24/16
1270,1/4/17
1271,1/3/17
1272,1/6/17
1273,1/4/17
1274,11/30/16
1275,1/2/17
1276,2/14/17
1277,1/4/17
1278,1/1/17
1279,12/21/16
1280,1/31/17
1281,1/16/17
1282,2/6/17
1283,2/7/17
1284,11/29/16
1285,11/30/16
1286,2/7/17
1287,11/25/16
1288,11/30/16
1289,11/29/16
1290,11/30/16
1291,11/30/16
1292,11/29/16
1293,11/29/16
1294,1/27/17
1295,2/13/17
1296,2/7/17
1297,2/7/17
1298,2/7/17
1299,2/7/17
1300,2/9/17
1301,2/7/17
1302,1/23/17
1303,1/2/17
1304,2/7/17
1305,1/21/17
1306,2/6/17
1307,1/3/17
1308,1/5/17
1309,12/15/16
1310,12/31/16
1311,1/3/17
1312,1/3/17
1313,1/5/17
1314,12/15/16
1315,1/1/17
1316,1/5/17
1317,1/9/17
1318,10/14/16
1319,12/22/16
1320,1/5/17
1321,1/6/17
1322,1/5/17
1323,1/14/17
1324,1/7/17
1325,1/1/17
1326,1/31/17
1327,1/8/17
1328,1/9/17
1329,1/9/17
1330,12/14/16
1331,1/21/17
1332,1/8/17
1333,11/8/16
1334,1/14/17
1335,1/4/17
1336,1/5/17
1337,1/14/17
1338,2/13/17
1339,1/12/17
1340,11/30/16
1341,1/4/17
1342,1/4/17
1343,11/30/16
1344,1/8/17
1345,1/14/17
1346,1/11/17
1347,1/11/17
1348,1/11/17
1349,1/11/17
1350,1/11/17
1351,1/11/17
1352,2/21/17
1353,1/13/17
1354,11/26/16
1355,1/12/17
1356,12/26/16
1357,1/25/17
1358,1/8/17
1359,12/26/16
1360,12/26/16
1361,12/26/16
1362,11/29/16
1363,2/6/17
1364,1/18/17
1365,12/23/16
1366,12/24/16
1367,1/23/17
1368,12/14/16
1369,11/3/16
1370,12/14/16
1371,1/10/17
1372,1/14/17
1373,2/14/17
1374,12/24/16
1375,1/4/17
1376,1/4/17
1377,2/13/17
1378,1/2/17
1379,1/4/17
1380,3/3/17
1381,12/25/16
1382,1/9/17
1383,11/29/16
1384,1/19/17
1385,1/30/17
1386,10/29/16
1387,10/29/16
1388,10/13/16
1389,1/4/17
1390,1/1/17
1391,1/30/17
1392,1/18/17
1393,2/7/17
1394,12/23/16
1395,1/4/17
1396,12/14/16
1397,1/14/17
1398,1/4/17
1399,1/8/17
1400,11/30/16
1401,1/14/17
1402,1/13/17
1403,1/24/17
1404,1/3/17
1405,1/4/17
1406,12/31/16
1407,1/1/17
1408,11/9/16
1409,12/27/16
1410,1/7/17
1411,12/23/16
1412,1/14/17
1413,1/16/17
1414,2/15/17
1415,1/3/17
1416,1/31/17
1417,12/25/16
1418,1/6/17
1419,11/13/16
1420,11/30/16
1421,1/3/17
1422,1/3/17
1423,1/3/17
1424,1/4/17
1425,1/3/17
1426,1/4/17
1427,1/14/17
1428,1/4/17
1429,1/4/17
1430,1/4/17
1431,1/5/17
1432,12/14/16
1433,1/4/17
1434,1/4/17
1435,1/5/17
1436,1/2/17
1437,12/29/16
1438,12/15/16
1439,1/3/17
1440,1/5/17
1441,1/4/17
1442,1/4/17
1443,1/4/17
1444,1/3/17
1445,12/25/16
1446,1/2/17
1447,1/4/17
1448,1/2/17
1449,1/4/17
1450,12/24/16
1451,1/4/17
1452,2/7/17
1453,1/4/17
1454,1/4/17
1455,12/13/16
1456,1/4/17
1457,12/28/16
1458,1/5/17
1459,1/4/17
1460,1/5/17
1461,12/31/16
1462,12/20/16
1463,11/29/16
1464,11/14/16
1465,1/5/17
1466,1/4/17
1467,1/5/17
1468,1/19/17
1469,1/3/17
1470,12/25/16
1471,1/1/17
1472,1/3/17
1473,12/24/16
1474,1/4/17
1475,11/10/16
1476,1/3/17
1477,2/2/17
1478,1/4/17
1479,1/5/17
1480,12/30/16
1481,12/21/16
1482,1/14/17
1483,1/4/17
1484,2/13/17
1485,3/7/17
1486,11/17/16
1487,12/15/16
1488,1/14/17
1489,1/31/17
1490,2/9/17
1491,1/2/17
1492,1/19/17
1493,2/15/17
1494,1/8/17
1495,1/30/17
1496,1/10/17
1497,11/8/16
1498,12/24/16
1499,1/2/17
1500,1/15/17
1501,1/15/17
1502,11/8/16
1503,1/4/17
1504,2/27/17
1505,1/5/17
1506,1/5/17
1507,1/5/17
1508,11/28/16
1509,1/13/17
1510,1/4/17
1511,11/29/16
1512,1/24/17
1513,2/27/17
1514,1/24/17
1515,1/1/17
1516,2/10/17
1517,2/6/17
1518,12/26/16
1519,1/9/17
1520,1/31/17
1521,1/13/17
1522,1/12/17
1523,2/21/17
1524,1/31/17
1525,1/14/17
1526,1/2/17
1527,2/6/17
1528,1/14/17
1529,1/12/17
1530,12/4/16
1531,2/7/17
1532,1/28/17
1533,1/28/17
1534,1/28/17
1535,1/4/17
1536,11/30/16
1537,1/3/17
1538,1/5/17
1539,2/7/17
1540,1/5/17
1541,1/31/17
1542,12/27/16
1543,1/6/17
1544,12/31/16
1545,12/31/16
1546,1/17/17
1547,11/28/16
1548,1/14/17
1549,11/17/16
1550,1/5/17
1551,1/5/17
1552,1/5/17
1553,2/12/17
1554,11/30/16
1555,1/25/17
1556,2/15/17
1557,1/3/17
1558,9/18/16
1559,11/29/16
1560,10/23/16
1561,1/24/17
1562,1/24/17
1563,11/28/16
1564,1/9/17
1565,1/5/17
1566,2/14/17
1567,2/6/17
1568,1/5/17
1569,1/4/17
1570,1/4/17
1571,1/19/17
1572,1/31/17
1573,1/22/17
1574,1/1/17
1575,12/27/16
1576,1/25/17
1577,1/14/17
1578,11/9/16
1579,1/9/17
1580,1/5/17
1581,11/17/16
1582,10/13/16
1583,1/21/17
1584,1/31/17
1585,11/30/16
1586,12/25/16
1587,1/4/17
1588,1/31/17
1589,2/3/17
1590,12/29/16
1591,1/23/17
1592,1/5/17
1593,1/24/17
1594,1/9/17
1595,11/30/16
1596,11/29/16
1597,11/29/16
1598,11/30/16
1599,11/6/16
1600,11/30/16
1601,1/12/17
1602,12/21/16
1603,11/7/16
1604,1/6/17
1605,1/14/17
1606,12/30/16
1607,11/27/16
1608,11/7/16
1609,11/27/16
1610,11/8/16
1611,2/7/17
1612,1/30/17
1613,12/12/16
1614,2/7/17
1615,1/5/17
1616,2/6/17
1617,2/7/17
1618,1/9/17
1619,1/5/17
1620,12/14/16
1621,1/3/17
1622,11/30/16
1623,1/14/17
1624,12/28/16
1625,1/24/17
1626,11/7/16
1627,11/30/16
1628,12/22/16
1629,11/30/16
1630,1/4/17
1631,11/8/16
1632,11/17/16
1633,12/10/16
1634,10/1/16
1635,11/7/16
1636,1/4/17
1637,1/4/17
1638,1/14/17
1639,1/1/17
1640,12/31/16
1641,1/3/17
1642,1/3/17
1643,1/1/17
1644,1/4/17
1645,1/4/17
1646,1/4/17
1647,1/23/17
1648,1/1/17
1649,11/29/16
1650,12/7/16
1651,11/30/16
1652,11/28/16
1653,11/28/16
1654,12/29/16
1655,12/16/16
1656,12/14/16
1657,12/10/16
1658,1/4/17
1659,11/17/16
1660,12/30/16
1661,1/5/17
1662,1/14/17
1663,1/28/17
1664,1/28/17
